ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
5637,Viktor Karpovich Asmayev,M,34,169,68,Portugal,POR,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
5934,Sandra Auffarth,F,27,167,54,Sweden,SWE,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
5934,Sandra Auffarth,F,27,167,54,Sweden,SWE,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
5934,Sandra Auffarth,F,31,167,54,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
6812,Kamal Bahamdan,M,44,169,66,Belgium,BEL,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
7272,"Nikolaus ""Klaus"" Balkenhol",M,54,175,80,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
7272,"Nikolaus ""Klaus"" Balkenhol",M,54,175,80,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
7272,"Nikolaus ""Klaus"" Balkenhol",M,58,175,68,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
7789,David Roberto Brcena Ros,M,40,170,70,Italy,ITA,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
8240,"Martina Maria Anna Antonia ""Tineke"" Bartels-de Vries",F,43,174,61,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
8240,"Martina Maria Anna Antonia ""Tineke"" Bartels-de Vries",F,47,174,61,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
8381,Malin Birgitta Baryard-Johnsson,F,31,193,49,Elvis Va,GER,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
8769,Matthias Andreas Baumann,M,27,173,66,Nadine,NED,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
8769,Matthias Andreas Baumann,M,31,173,66,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
9154,Laura Bechtolsheimer (-Tomlinson),F,29,166,53,West Germany,FRG,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
9154,Laura Bechtolsheimer (-Tomlinson),F,29,166,53,West Germany,FRG,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
9213,Otto Becker,M,43,179,75,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
9213,Otto Becker,M,47,179,75,Sweden,SWE,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
9349,Ludger Beerbaum,M,27,187,82,Nadine,NED,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
9349,Ludger Beerbaum,M,34,187,82,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
9349,Ludger Beerbaum,M,39,187,82,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
9349,Ludger Beerbaum,M,54,187,82,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
10085,Rolf-Gran Bengtsson,M,44,168,64,Elvis Va,GER,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
10085,Rolf-Gran Bengtsson,M,48,168,64,Elvis Va,GER,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
10178,Mervyn Bennett,M,33,176,67,Clearwater,DEN,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
10191,Andrew David Bennie,M,34,177,87,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
11005,"Gregory Alan ""Greg"" Best",M,26,184,72,Ireland,IRL,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
11005,"Gregory Alan ""Greg"" Best",M,26,184,72,Ireland,IRL,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
11448,Fiona Clare Bigwood,F,42,170,72,West Germany,FRG,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
11995,Julie Lynne Black-Burns Richards,F,35,167,51,Ireland,IRL,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
12278,Susan M. Blinks,F,44,164,65,Ireland,IRL,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
12280,Aleksandr Ivanovich Blinov,M,27,173,65,Portugal,POR,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
12280,Aleksandr Ivanovich Blinov,M,27,173,65,Portugal,POR,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
12307,Herbert Blcker,M,35,170,65,Nadine,NED,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
12307,Herbert Blcker,M,51,170,65,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
12307,Herbert Blcker,M,51,181,65,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
12474,Janusz Bobik,M,26,166,63,Switzerland,SUI,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
12886,Arnaud Boiteau,M,32,179,73,Austria,AUT,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
12950,Harry Boldt,M,36,181,69,Sweden,SWE,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
12950,Harry Boldt,M,36,181,69,Sweden,SWE,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
12950,Harry Boldt,M,48,181,69,Nadine,NED,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
12950,Harry Boldt,M,48,181,69,Nadine,NED,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
13303,"Petronella Theodora Maria ""Ellen"" Bontje",F,36,175,69,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
13303,"Petronella Theodora Maria ""Ellen"" Bontje",F,44,175,69,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
13346,Boris Boor,M,43,175,62,Satchmo,GER,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
13790,Roger-Yves Bost,M,52,173,77,Austria,AUT,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
14104,Hubert Bourdy,M,33,169,62,Austria,AUT,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
14104,Hubert Bourdy,M,37,169,62,Austria,AUT,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
14578,Jeanette Brakewell,F,28,170,57,West Germany,FRG,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
14578,Jeanette Brakewell,F,42,166,57,West Germany,FRG,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
14706,Scott Brash,M,28,168,61,West Germany,FRG,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
14847,Charlotte Bredahl (-Baker),F,37,172,58,Ireland,IRL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
15138,Wolfgang Brinkmann,M,40,192,76,Nadine,NED,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
15227,Allison M. Brock,F,38,165,56,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
15399,David McPherson Broome,M,22,172,61,West Germany,FRG,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
15399,David McPherson Broome,M,30,172,61,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
15406,Kristina Brring-Sprehe,F,27,165,51,Sweden,SWE,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
15406,Kristina Brring-Sprehe,F,31,165,51,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
15406,Kristina Brring-Sprehe,F,31,165,51,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
16240,"Anton ""Toni"" Bhler",M,40,174,72,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold
16240,"Anton ""Toni"" Bhler",M,40,174,72,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
16717,Leslie Michele Burr-Howard (-Leneghan-),F,29,193,52,Ireland,IRL,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
16717,Leslie Michele Burr-Howard (-Leneghan-),F,41,164,52,Ireland,IRL,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
16759,Christopher Burton,M,36,177,72,Clearwater,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
17074,Ingamay Christina Bylund,F,38,173,61,Elvis Va,GER,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
18029,Nadine Capellmann (-Biffar-),F,37,163,50,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
18029,Nadine Capellmann (-Biffar-),F,45,163,48,Canada,CAN,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
18722,Anna Casagrande,F,23,162,54,Germany,GER,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
19648,Henri Chammartin,M,35,173,68,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
19648,Henri Chammartin,M,39,173,68,Great Britain,GBR,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
19648,Henri Chammartin,M,48,173,68,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
19648,Henri Chammartin,M,54,173,68,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
19648,Henri Chammartin,M,52,173,68,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
19854,"Francis Davis ""Frank"" Chapot",M,30,175,67,Ireland,IRL,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
19854,"Francis Davis ""Frank"" Chapot",M,42,175,67,Ireland,IRL,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
19898,Peter Charles,M,54,172,75,West Germany,FRG,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
20093,Mauro Checcoli,M,23,168,60,Germany,GER,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
20093,Mauro Checcoli,M,23,168,60,Germany,GER,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
20621,Darren M. Chiacchia,M,41,174,71,Ireland,IRL,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
21400,Vyacheslav Mikhaylovich Chukanov,M,30,187,75,Portugal,POR,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
21752,Diana Clapham,F,29,167,56,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
22110,Marion Janice Coakes (-Mould),F,23,185,57,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
22137,Brien William Baxter Cobcroft,M,36,158,69,Clearwater,DEN,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
22238,"Edmund Sloane ""Tad"" Coffin",M,23,177,63,Ireland,IRL,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
22238,"Edmund Sloane ""Tad"" Coffin",M,23,177,63,Ireland,IRL,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
22646,"Malcolm ""Mac"" Cone",M,57,185,79,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
22867,"Althea Kristina ""Tina"" Cook (Gifford-)",F,39,172,68,West Germany,FRG,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
22867,"Althea Kristina ""Tina"" Cook (Gifford-)",F,39,172,68,West Germany,FRG,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
22867,"Althea Kristina ""Tina"" Cook (Gifford-)",F,43,166,68,West Germany,FRG,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
23096,Monique Adelinde Cornelissen,F,35,165,52,Netherlands,NED,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
23096,Monique Adelinde Cornelissen,F,35,165,52,Netherlands,NED,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
23388,Frdric Cottier,M,36,175,69,Austria,AUT,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
23466,Didier Courrges,M,46,189,62,Austria,AUT,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
23644,Brian John Crago,M,36,168,64,Clearwater,DEN,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
24202,Edgar Henri Cuepper,M,29,180,69,United States,USA,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
25591,Bruce Oram Davidson,M,24,177,63,Ireland,IRL,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
25591,Bruce Oram Davidson,M,28,177,63,Ireland,IRL,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
25591,Bruce Oram Davidson,M,36,177,63,Ireland,IRL,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
25591,Bruce Oram Davidson,M,48,177,63,Ireland,IRL,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
25709,Lucy Davis,F,25,162,70,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
25814,"James E. ""Jim"" Day",M,24,177,74,Brazil,BRA,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
25898,Luiz Felipe Cortizo Gonalves de Azevedo,M,44,176,54,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
25898,Luiz Felipe Cortizo Gonalves de Azevedo,M,52,176,70,Mexico,MEX,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
25910,Amy-Cathrine de Bary,F,30,167,56,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
27368,Norman Adrian Dello Joio,M,38,169,65,Ireland,IRL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
27912,Daniel Deuer,M,36,187,73,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
28051,Piero D'Inzeo,M,35,171,61,Germany,GER,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
28051,Piero D'Inzeo,M,35,171,61,Germany,GER,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
28051,Piero D'Inzeo,M,39,171,61,Germany,GER,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
28051,Piero D'Inzeo,M,39,171,61,Germany,GER,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
28051,Piero D'Inzeo,M,43,171,61,Germany,GER,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
28051,Piero D'Inzeo,M,51,171,46,Germany,GER,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
28052,Raimondo D'Inzeo,M,33,173,69,Germany,GER,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
28052,Raimondo D'Inzeo,M,33,173,69,Germany,GER,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
28052,Raimondo D'Inzeo,M,52,173,69,Germany,GER,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
28052,Raimondo D'Inzeo,M,37,173,69,Germany,GER,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
28052,Raimondo D'Inzeo,M,41,173,70,Germany,GER,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
28052,Raimondo D'Inzeo,M,49,173,69,Germany,GER,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
28324,Andreas Dibowski,M,44,178,70,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
28333,"Katherine Mary ""Daisy"" Dick (-Berkeley)",F,38,165,52,West Germany,FRG,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
29041,"Alvaro Affonso ""Doda"" de Miranda Neto",M,25,183,86,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
29361,"Anghelache ""Anghel"" Donescu",F,36,173,69,Digby,DEN,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
29751,Robert Jeffrey Dover,M,38,175,65,Ireland,IRL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
29751,Robert Jeffrey Dover,M,42,175,65,Ireland,IRL,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
29751,Robert Jeffrey Dover,M,46,175,65,Ireland,IRL,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
29751,Robert Jeffrey Dover,M,50,185,65,Ireland,IRL,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
30203,"Helena Allaire ""Lana"" du Pont (-Wright)",F,27,167,58,Ireland,IRL,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
30245,Jeroen Dubbeldam,M,29,182,82,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
30505,Charlotte Susan Jane Dujardin,F,29,167,54,West Germany,FRG,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
30505,Charlotte Susan Jane Dujardin,F,55,167,54,West Germany,FRG,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
30505,Charlotte Susan Jane Dujardin,F,33,167,54,West Germany,FRG,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
30505,Charlotte Susan Jane Dujardin,F,33,167,54,West Germany,FRG,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
30798,"Pierre Durand, Jr.",M,35,177,69,Austria,AUT,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
30798,"Pierre Durand, Jr.",M,35,177,69,Austria,AUT,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
30799,"Pierre Durand, Sr.",M,30,171,50,Austria,AUT,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
30918,Phillip Peter Dutton,M,34,165,65,Clearwater,DEN,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
30918,Phillip Peter Dutton,M,39,165,65,Clearwater,DEN,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
30918,Phillip Peter Dutton,M,54,165,65,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
31641,Marcus Ehning,M,28,165,61,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
31646,Ralf Ehrenbrink,M,30,183,67,Nadine,NED,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
31646,Ralf Ehrenbrink,M,33,183,67,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
32221,"James Robert ""Jim"" Elder",M,23,169,67,Brazil,BRA,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
32221,"James Robert ""Jim"" Elder",M,36,169,67,Brazil,BRA,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
32877,Claus Erhorn,M,59,178,69,Nadine,NED,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
32877,Claus Erhorn,M,31,178,69,Nadine,NED,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
32988,Ulf Peter Tobias Eriksson,M,46,173,63,Elvis Va,GER,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
34045,"Joseph Halpin ""Joe"" Fargis, IV",M,38,184,72,Ireland,IRL,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
34045,"Joseph Halpin ""Joe"" Fargis, IV",M,38,184,72,Ireland,IRL,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
34045,"Joseph Halpin ""Joe"" Fargis, IV",M,42,184,72,Ireland,IRL,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
34164,Kent Farrington,M,37,194,63,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
35027,Beatriz Ferrer-Salat Serra de Migui,F,40,173,55,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
